										
										
		SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE
		STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST
		To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au
				DATE:	21.02.25					
				Please note: Prices are subject to change without notice.						
		SAW #	DESCRIPTION	STOCKIST PRICE EX GST	MU	GP	RRP INC GST	BARCODE	2020 CATALOGUE PAGE NO.	NOTES
		271232P	Cutlass bearing PVC 32mm ID x 1-3/4 OD x 5	160.954545454545	0.6009601807399073	96.727272727273	283.4499999999998	9330420184136	50	
		271234	Cutlass bearing brass / nitrile 35mm ID x 1-7/8 OD x 5-1/2	73.0636363636364	0.5982331715814312	43.70909090909059	128.4499999999997	9330420146431	47	
		271236P	Cutlass bearing PVC 38mm ID x 2 OD x 6	193.781818181818	0.5995027209607796	116.17272727272697	340.94999999999953	9330420184143	50	
		271238	Cutlass bearing brass / nitrile 40mm ID x 2-1/8 OD x 6-1/4	97.4181818181818	0.5999440089585634	58.44545454545421	171.44999999999962	9330420146455	47	
		271240	Cutlass bearing brass / nitrile 45mm ID x 2-3/8 OD x 7	144.018181818182	0.5998611286453716	86.39090909090899	253.4500000000001	9330420146462	47	
		271242P	Cutlass bearing PVC 50mm ID x 2-5/8 OD x 8	290.145454545455	0.5993545557087346	173.90000000000003	510.45000000000056	9330420184150	50	
		271246	Cutlass bearing brass / nitrile 60mm ID x 3-1/4 OD x 9-3/4	351.563636363636	0.600511998345057	211.118181818182	618.9499999999998	9330420146493	47	
		271252P	Cutlass bearing PVC 75mm ID x 4 OD x 12	648.1	0.5997110434697268	388.67272727272996	1140.450000000003	9330420184167	50	
		271262	Cutlass bearing brass / nitrile 1-1/8 ID x 1-5/8 OD x 4-1/2	69.8909090909091	0.5992455775234088	41.88181818181789	122.9499999999997	9330420146554	48	
		271262P	Cutlass bearing PVC 1-1/8 ID x 1-5/8 OD x 4-1/2	195.9	0.6007703373706432	117.690909090909	344.94999999999993	9330420184174	50	
		271266P	Cutlass bearing PVC 1-3/8 ID x 1-7/8 OD x 5-1/2	167.309090909091	0.5999239295805241	100.37272727272702	294.4499999999998	9330420184198	50	
		271270	Cutlass bearing brass / nitrile 1-5/8 ID x 2-1/8 OD x 6-1/2	201.2	0.5992680281944684	120.57272727272704	353.94999999999976	9330420146592	48	
		271270P	Cutlass bearing PVC 1-5/8 ID x 2-1/8 OD x 6-1/2	267.909090909091	0.5997624703087878	160.68181818181802	471.44999999999993	9330420184211	50	
		271272P	Cutlass bearing PVC 1-3/4 ID x 2- 3/8 OD x 7	281.681818181818	0.6006131999354521	169.18181818181796	495.9499999999996	9330420184228	50	
		271274	Cutlass bearing brass / nitrile 1-7/8 ID x 2-5/8 OD x 7-1/2	280.618181818182	0.6002008552546333	168.42727272727302	493.95000000000056	9330420146615	48	
		271280P	Cutlass bearing PVC 2-1/4 ID x 3 OD x 9	398.163636363636	0.6004155440887733	239.063636363637	700.9500000000003	9330420184631	50	
		271282	Cutlass bearing brass / nitrile 2-3/8 ID x 3-1/4 OD x 9-1/2	559.118181818182	0.5998406581792751	335.38181818181795	983.95	9330420171839	48	
		271282P	Cutlass bearing PVC 2-3/8 ID x 3-1/4 OD x 9-1/2	441.581818181818	0.5995182607979588	264.736363636364	776.9500000000003	9330420184259	50	
		271286P	Cutlass bearing PVC 2-5/8 ID x 3-3/8 OD x 10-1/2	535.909090909091	0.5995759117896524	321.318181818182	942.9500000000004	9330420184273	50	
		271290P	Cutlass bearing PVC 2-3/4 ID x 3- 3/4 OD x 11	735.245454545454	0.5998986114717397	441.07272727272596	1293.949999999998	9330420184280	50	
		271296P	Cutlass bearing PVC 3-1/4 ID x 4 OD x 12	807.372727272727	0.599970724347213	484.40000000000293	1420.950000000003	9330420184297	50	
		271300P	Cutlass bearing PVC 3-1/2 ID x 4-1/2 OD x 14	973.654545454545	0.5998300685328032	584.0272727272751	1713.4500000000023	9330420184303	50	
		271308	Cutlass bearing brass / nitrile 4 ID x 5-1/4 OD x 16	1552.63636363636	0.5998887522688688	931.4090909090899	2732.4499999999953	9330420171952	48	
		271312	Cutlass bearing brass / nitrile 4-1/4 ID x 5-1/2 OD x 17	1871.17272727273	0.6000903662749126	1122.8727272727199	3293.4499999999953	9330420171976	48	
		271424P	Cutlass bearing PVC 7/8 ID x 1-1/4 OD x 3-1/2	99.5363636363636	0.5978628185222444	59.509090909091384	174.9500000000005	9330420184310	50	
		271426P	Cutlass bearing PVC 7/8 ID x 1-3/8 OD x 3-1/2	99.5363636363636	0.5978628185222444	59.509090909091384	174.9500000000005	9330420184327	50	
		271428P	Cutlass bearing PVC 7/8 ID x 1-1/2 OD x 3-1/2	103.772727272727	0.5983355234340788	62.09090909090901	182.44999999999962	9330420184334	50	
		271430P	Cutlass bearing PVC 1 ID x 1-3/8 OD x 4	99.5363636363636	0.5978628185222444	59.509090909091384	174.9500000000005	9330420184341	50	
		271432	Cutlass bearing brass / nitrile 1 ID x 1-5/8 OD x 4	70.9454545454546	0.6011019989748821	42.6454545454544	124.9499999999999	9330420172140	48	
		271434	Cutlass bearing brass / nitrile 1 ID x 2 OD x 4	78.3636363636364	0.600348027842228	47.04545454545462	137.95000000000013	9330420172157	48	
		271436	Cutlass bearing brass / nitrile 1-1/8 ID x 1-1/2 OD x 4-1/2	92.1272727272727	0.5980856522597233	55.10000000000031	161.95000000000033	9330420172164	48	
		271436P	Cutlass bearing PVC 1-1/8 ID x 1-1/2 OD x 4-1/2	178.963636363636	0.5998679264451937	107.35454545454598	314.9500000000002	9330420184358	50	
		271438	Cutlass bearing brass / nitrile 1-1/8 ID x 1-3/4 OD x 4-1/2	162.018181818182	0.5988665694085972	97.02727272727302	284.95000000000056	9330420172171	48	
		271444	Cutlass bearing brass / nitrile 1-1/4 ID x 1-5/8 OD x 5	115.427272727273	0.5984090730093684	69.072727272727	202.95000000000002	9330420172201	48	
		271444P	Cutlass bearing PVC 1-1/4 ID x 1-5/8 OD x 5	167.309090909091	0.5999239295805241	100.37272727272702	294.4499999999998	9330420184372	50	
		271448P	Cutlass bearing PVC 1-1/4 ID x 2-1/8 OD x 5	222.381818181818	0.6002371024446075	133.48181818181797	391.4499999999996	9330420184389	50	
		271450P	Cutlass bearing PVC 1-3/8 ID x 2 OD x 5-1/2	260.5	0.5998953062292784	156.27272727272702	458.44999999999976	9330420186840	50	
		271456P	Cutlass bearing PVC 1-1/2 ID x 2-3/8 OD x 6	252.027272727273	0.5995743606391803	151.10909090909104	443.45000000000044	9330420184396	50	
		271464	Cutlass bearing brass / nitrile 2 ID x 2-3/4 OD x 8	313.445454545455	0.5993793323472243	187.87272727272705	551.4500000000003	9330420172294	48	
		271464P	Cutlass bearing PVC 2 ID x 2-3/4 OD x 8	414.045454545455	0.6005049950598287	248.636363636363	728.9499999999999	9330420185850	50	
		271472P	Cutlass bearing PVC 2-1/8 ID x 3-1/8 OD x 8-1/2	391.809090909091	0.5996890879138717	234.963636363636	689.4499999999998	9330420184426	50	
		271476	Cutlass bearing brass / nitrile 2-1/4 ID x 3-1/8 OD x 9	428.872727272727	0.6002840427335948	257.445454545455	754.9500000000003	9330420172355	48	
		271486	Cutlass bearing brass / nitrile 2-1/2 ID x 3 OD x 10	459.781818181818	0.5994740588421394	275.627272727273	808.9500000000002	9330420172409	48	
		271488	Cutlass bearing brass / nitrile 2-1/2 ID x 3-1/8 OD x 10	452.772727272727	0.6001405481377381	271.727272727273	796.95	9330420172416	48	
		271490	Cutlass bearing brass / nitrile 2-1/2 ID x 3-3/8 OD x 10	460.781818181818	0.5999487037840836	276.445454545455	810.9500000000004	9330420172423	48	
		271492P	Cutlass bearing PVC 2-1/2 ID x 3-1/2 OD x 10	507.863636363636	0.6001969032489045	304.81818181818204	893.9499999999999	9330420184440	50	
		271496P	Cutlass bearing PVC 2-3/4 ID x 3-3/8 OD x 11	703.190909090909	0.5997853938539969	421.763636363641	1237.450000000005	9330420184457	50	
		271498	Cutlass bearing brass / nitrile 2-3/4 ID x 3-1/2 OD x 11	727.236363636364	0.6000175008750441	436.3545454545459	1279.950000000001	9330420172461	48	
		271498P	Cutlass bearing PVC 2-3/4 ID x 3-1/2 OD x 11	734.245454545454	0.6002203870392686	440.70909090909606	1292.450000000005	9330420184464	50	
		271502P	Cutlass bearing PVC 3 ID x 3-3/4 OD x 12	660.118181818182	0.600195557269356	396.1999999999979	1161.949999999998	9330420184471	50	
		271508P	Cutlass bearing PVC 3-1/4 ID x 4-1/4 OD x 13	1019.72727272727	0.6002050459124613	612.04545454546	1794.9500000000032	9330420184488	50	
		271512P	Cutlass bearing PVC 3-1/2 ID x 4-1/4 OD x 14	1357.3	0.6000683174484125	814.4727272727303	2388.9500000000035	9330420184495	50	
		271703	Cutlass bearing composite / nitrile 1 ID x 1-11/16 OD x 4	49.589	0.4501016537758557	22.320090909090908	79.10000000000001	9330420202540	49	
		271706	Cutlass bearing composite / nitrile 1-1/8 ID x 1-7/8 OD x 12	126.021	0.4499747877518271	56.706272727273	201.0000000000003	9330420202557	49	
		271709	Cutlass bearing composite / nitrile 1-1/4 ID x 2 OD x 12	129.421	0.4501651059860301	58.260818181817996	206.4499999999998	9330420202564	49	
		271711	Cutlass bearing composite / nitrile 1-1/4 ID x 2-1/2 OD x 8	103.53	0.45017254550723457	46.606363636363994	165.1500000000004	9330420202595	49	
		271716	Cutlass bearing composite / nitrile 1-1/2 ID x 2 OD x 12	136	0.4498663101604264	61.18181818181799	216.8999999999998	9330420202571	49	
		271726	Cutlass bearing composite / nitrile 2 ID x 3 OD x 9	138.346	0.4499220005703743	62.244909090909005	220.64999999999992	9330420202601	49	
		271733	Cutlass bearing composite / nitrile 2-1/2 ID x 3-1/2 OD x 12	177.616	0.4500126933691503	79.929454545455	283.3000000000005	9330420202625	49	
		28490	Storage box recessed side mount black ASA plastic 464 x 196mm	39.9	0.5003417634996593	19.963636363636404	65.85000000000005	9330420094138		
		28500	Deck filler recessed flush mount white ASA plastic 198 x 155mm	7.98	0.49806334016860887	3.974545454545499	13.15000000000005	9330420002232	244	
		28502	Storage box recessed side mount white ASA plastic 200 x 155mm	14.25	0.49920255183413326	7.113636363636399	23.50000000000004	9330420002249	244	
		28504	Storage box recessed side mount white ASA plastic 235 x 165mm	15.2	0.5011961722488026	7.6181818181817995	25.09999999999998	9330420002256	244	
		28506	Storage box recessed side mount white ASA plastic 420 x 170mm	20.9	0.5006524575902584	10.4636363636364	34.50000000000004	9330420002263	244	
		28507	Storage box recessed side mount black ASA plastic 420 x 170mm	25.08	0.5006524575902552	12.5563636363636	41.39999999999996	9330420116847		
		28510	Storage box recessed mount with door white ASA plastic 210 x 165mm	19	0.5	9.5	31.35	9330420002270	244	
		28512	Storage box recessed mount with door white ASA plastic 188 x 114mm	24.7	0.4998159735001821	12.345454545454498	40.74999999999995	9330420002287	244	
		28514	Storage box recessed mount with door white ASA plastic 370 x 124mm	29.45	0.5002315172094466	14.731818181818202	48.60000000000002	9330420002294	244	
		28518	Storage box recessed side pocket mount black ABS plastic 418 x 168mm	45.98	0.499663885483806	22.9745454545454	75.84999999999994	9330420117530		
		28519	Storage box recessed side pocket mount grey ABS plastic 418 x 168mm	45.98	0.499663885483806	22.9745454545454	75.84999999999994	9330420088076		
		28520	Storage box recessed side pocket mount white ABS plastic 418 x 168mm	37.05	0.5004293951662376	18.540909090909103	61.15000000000001	9330420002300	244	
		28522	Storage box fire extinguisher white ABS with door 345 x 105 x 110mm ID	65.835	0.5003072419340366	32.9377272727273	108.65000000000003	9330420155730	244	
		28524	Storage box fire extinguisher white ABS with door 415 x 145 x 130mm ID	79.8	0.4997721576668923	39.881818181818005	131.6499999999998	9330420155747	244	
		28525	Storage box fire extinguisher white ABS clear door 415 x 145 x 130mm ID	63.46	0.4998710712546202	31.7218181818182	104.70000000000003	9330420204070	244	
		28526	Battery isolator switch 2 position key chrome ABS recessed box & lid	47.2	0.4503081664098621	21.254545454545493	75.30000000000005	9330420230239		
		28527	Battery isolator switch case recess round white ABS suit key type	27	0.5	13.5	44.550000000000004	9330420187168	246, 364	
		28528	Emergency fuel shut-off switch box recessed square white ABS	27.17	0.5006524575902576	13.6027272727273	44.85000000000004	9330420155761	246	Similar to 28527
		28529	Battery isolator switch 2 position key in white recessed box with lid	53.9909090909091	0.500252567772352	27.0090909090909	89.10000000000001	9330420187175	364	
		28530	Shower head storage case white ABS plastic soft lid suit 51010	20.8	0.499125874125875	10.3818181818182	34.300000000000026	9330420092073	468	
		28531	Battery isolator switch 2 posn key in white ABS plastic case with lid	60.6181818181818	0.4997000599880027	30.290909090909103	100	9330420209785		
		28534	Storage box fire extinguisher black ABS clear door 370 x 120 x 110mm ID	51.3	0.5000886053517622	25.6545454545454	84.64999999999995	9330420094121		
		28535	Storage box fire extinguisher black ABS clear door 416 x 150 x 123mm ID	63.46	0.4998710712546202	31.7218181818182	104.70000000000003	9330420118414		
		28540	Battery isolator switch case recess round chrome ABS suit key type	25.5818181818182	0.49964463397299264	12.781818181818203	42.200000000000045	9330420099263		
		29001	Cleat folding G316 SS 155mm with 3 x M10 x 50mm studs	40.8818181818182	0.599955525906159	24.52727272727271	71.95	9330420065206		
		29002	Cleat folding G316 SS 155mm	34.4	0.49973572938689254	17.190909090909102	56.750000000000014	9330420045109		
		29004	Cleat folding G316 SS 204mm	85.5	0.4997341839447135	42.727272727273004	141.05000000000032	9330420045116		
		29026	3M marine oil & fuel bilge pillow	16.5090909090909	0.4509911894273162	7.445454545454599	26.35000000000005	9330420036886	75	
		29026-16	3M marine oil & fuel bilge pillow - pack of 16	234.752	0.399929984138001	93.88436363636401	361.50000000000045	9330420125795		
		29040	Phender Pro fender mount pin quick release 3/8	65.382	0.4001629583899926	26.1634545454545	100.69999999999996	9330420226737		
		29041	Phender Pro fender mount pin quick release 3/8 with 8mm x 1.37m rope	70.55	0.4000386573030092	28.222727272727298	108.65000000000003	9330420226744		
		29042	Phender Pro fender mount socket quick release retro-fit 3/8 ID	71.536	0.39980378601492944	28.600363636363994	110.1500000000004	9330420226751		
		29044	Phender Pro fender mount install tool suit retro-fit socket 3/8	24.123	0.4000218576763794	9.6497272727273	37.150000000000034	9330420226775		
		29045	Phender Pro fender mount socket HD quick release LTX OEM 3/8 ID	72.93	0.39984792391209356	29.160909090908987	112.2999999999999	9330420226799		
		29047	Phender Pro install kit retro-fit 3/8 inc 4 sockets & 2 pins c/w rope	297.551	0.4000655655363586	119.03990909090902	458.24999999999994	9330420226850		
		29049	Phender Pro install kit HD OEM 3/8 inc 4 sockets & 2 pins c/w rope	297.551	0.4000655655363586	119.03990909090902	458.24999999999994	9330420226836		
		29055	Phender Pro fender mount pin quick release 1/2	100.861	0.4002168601072069	40.366272727273	155.3500000000003	9330420226683		
		29056	Phender Pro fender mount pin quick release 1/2 with 12mm x 1.37m rope	110.959	0.40018958681707656	44.404636363636	170.8999999999996	9330420226690		
		29057	Phender Pro fender mount socket quick release retro-fit 1/2 ID	75.922	0.3997619566492848	30.350727272727	116.89999999999971	9330420226706		
		29059	Phender Pro fender mount install tool suit retro-fit socket 1/2	24.123	0.4000218576763794	9.6497272727273	37.150000000000034	9330420226720		
		29060	Phender Pro fender mount socket HD quick release OEM 1/2 ID	99.484	0.3999510199904206	39.788727272727	153.1999999999997	9330420226812		
		29061	Phender Pro fender mount pin HD quick release GTX OEM 1/2	142.222	0.3998601418269255	56.868909090909	218.99999999999991	9330420226805		
		29062	Phender Pro install kit retro-fit 1/2 inc 4 sockets & 2 pins c/w rope	534.735	0.40001377062725263	213.90136363636395	823.5000000000005	9330420226843		
		29064	Phender Pro install kit HD OEM 1/2 inc 4 sockets & 2 pins c/w rope	534.735	0.40001377062725263	213.90136363636395	823.5000000000005	9330420226829		
		29066	Phender Pro Go Pro Mount Pin Suits 1/2in Socket	158.015	0.4000396970368194	63.21227272727302	243.35000000000034	9330420229387		
		29067	Phender Pro Electric Trolling Motor Stabiliser Pin Suits 1/2in Socket	164.05	0.40007204012080444	65.63181818181798	252.6499999999998	9330420229394		
		29080	Live bait scoop SS transom mount	20.8454545454545	0.5002180549498519	10.4272727272728	34.400000000000034	9330420004779	420, 479	
		29081	Live bait scoop SS transom mount suits Rule/Shurflo bilge pumps	31.3909090909091	0.500144801621778	15.7	51.80000000000001	9330420004786	420, 479	
		29082	Live bait scoop SS transom mount with SS pump holding bar	31.3909090909091	0.500144801621778	15.7	51.80000000000001	9330420029710		
		29096	Bollard cross solid straight 316G cast SS 140 x 85 x 150mm	205.36	0.39998052201012846	82.13999999999999	316.25	9330420126266	155	
		29098	Bollard cross solid straight 316G cast SS 90 x 60 x 60mm	64.855	0.40032660270113013	25.963181818181795	99.89999999999999	9330420120318	155	
		29099	Bollard cross solid straight 316G cast SS 115 x 75 x 75mm	130.73	0.3998317142201485	52.27000000000001	201.3	9330420120325	155	
		29100	Bollard cross split 316G cast SS spring loaded captive 10mm pin	53.1090909090909	0.4498459431701474	23.890909090909098	84.7	9330420034530	155	
		29100PIN	Bollard pin 316ss suits 29100	15.5818181818182	0.604434072345389	9.4181818181818	27.500000000000004	9330420152388		
		29101	Bollard cross split 316G cast SS no pin 90mm high	49.7727272727273	0.49680365296803564	24.727272727272698	81.95	9330420083392	155	
		29102	Bollard cross split 316G cast SS spring loaded captive 12mm pin	106.5	0.4498506188647041	47.90909090909099	169.8500000000001	9330420082654	155	
		29104	Bollard cross cast aluminium weld-on 75mm	15.895	0.44985558637650214	7.150454545454501	25.34999999999995	9330420036893	155	
		29104-20	Bollard cross cast aluminium weld-on 75mm - pack of 20	299.2	0.39994530870199196	119.66363636363599	460.7499999999996	9330420015904		
		29105	Bollard cross cast aluminium weld-on 100mm	23.443	0.45032632342277	10.556999999999999	37.400000000000006	9330420036909	155	
		29105-20	Bollard cross cast aluminium weld-on 100mm - pack of 20	441.28	0.39995632540048737	176.49272727272705	679.5499999999997	9330420015911		
		29116	Bollard cross cast aluminium weld-on 150mm	30.379	0.44986518797374814	13.666454545454496	48.44999999999995	9330420091045	155	
		29134	Inspection Port 150mm Alloy/White Acetal Lid AS356 CASTING ALLOY	152.618181818182	0.5990588515606396	91.42727272727299	268.4500000000005	9330420009095		
		29135	Inspection Port 150mm Alloy/Black Acetal Lid AS356 CASTING ALLOY	152.618181818182	0.5990588515606396	91.42727272727299	268.4500000000005	9330420058499		
		29142	Deck filler chromed bronze 1-1/4 BSPF threaded no tail marked fuel	52.6909090909091	0.6045548654244295	31.854545454545402	92.99999999999996	9330420090215		
		29148	Deck plate G316 SS polished quick twist cover 200mm ID	221	0.4500205676676244	99.45454545454498	352.4999999999995	9330420223774		
		29153	Deck plate 316G SS with key 75mm ID	46.60125	0.45236057362878035	21.0805681818182	74.45000000000003	9330420037029	231	
		29155	Plate blanking 304G SS 140mm OD covers up to 105mm diam hole	33.08066244	0.40015883606295166	13.237519378181801	50.94999999999998	9330420111101	231	
		29156	DECK PLATE 109MM W/ STAR HOLE CUT OUT - INCLUDES KEY	74.8253079	0.4512591012125858	33.765601190908995	119.4499999999999	9330420029963		
		29156S	KEY WITH CHAIN T/S 29156 DECK PLATE	4.63636363636364	0.46078431372548834	2.1363636363636296	7.4499999999999975	9330420030631		
		29157	Deck plate G316 SS 100mm diameter	73.1	0.39970152966049255	29.218181818182003	112.55000000000021	9330420013399	231	
		29157S	Deck plate sea spanner G316 SS	11.1181818181818	0.5004088307440763	5.563636363636402	18.350000000000023	9330420037036	231	
		29158	Deck plate cast aluminium with key 100mm ID	116	0.39851097178683625	46.227272727273004	178.45000000000033	9330420037043	231	
		29159	Fender holder twist up SS 316G	15	0.5121212121212134	7.681818181818201	24.950000000000024	9330420215977		
		29160	Deck plate cast aluminium with key 150mm ID	190.063636363636	0.6123786291672653	116.39090909090899	337.0999999999995	9330420025781	231	
		29163	70MM X 17MM 316G S/S ROPE CLEAT TO SUIT ROPES 3-6MM	9.41818181818182	0.5009652509652468	4.71818181818178	15.54999999999996	9330420177893	153	
		29164	48MM X 14MM 316G S/S ROPE CLEAT TO SUIT ROPES 3-6MM	6.95454545454545	0.4967320261437905	3.4545454545454497	11.44999999999999	9330420177909	153	
		29165	Deck plate 316G SS with key 125mm ID	95.21275	0.4508179171000102	42.923613636363996	151.95000000000041	9330420132229	231	
		29165S	Deck plate spanner suit 29165	11.8272727272727	0.4950038431975455	5.854545454545502	19.450000000000024	9330420098709		
		29166	Deck plate 316G cast SS 150mm ID	177.027272727273	0.4499563498176932	79.65454545454503	282.34999999999985	9330420088427	231	
		29166-4	Deck plate 316G cast SS 150mm ID - pack of 4	668.78	0.3999711822613222	267.49272727272705	1029.8999999999999	9330420220599		
		29167	Plate blanking 304G SS 210mm OD covers up to 170mm diam hole	48.45	0.3997560746786748	19.368181818181796	74.59999999999998	9330420157437	231	
		29168	Cleat fender spring loaded G316 SS	46.8	0.4500777000776989	21.063636363636306	74.64999999999993	9330420201130	152	
		29169	Cleat 316SS open base 380mm h/duty	142.4	0.6036772216547471	85.963636363636	251.19999999999962	9330420205718	151	
		29170	Cleat folding G316 SS 120mm	26.9909090909091	0.5005052206130005	13.5090909090909	44.550000000000004	9330420187809	152	
		29171	Cleat pull-up 316G cast SS 115mm	55.08	0.3996170858915958	22.010909090909095	84.80000000000001	9330420113167	152	
		29172	Cleat pull-up 316G cast SS 150mm	76.5	0.3998811645870457	30.590909090908994	117.7999999999999	9330420113174	152	
		29173	Cleat pull-up 316G cast SS 160mm	73.1	0.448202959830862	32.76363636363601	116.44999999999962	9330420029628		
		29175	Cleat 316G cast SS open base 150mm	13.5	0.40067340067339996	5.409090909090899	20.79999999999999	9330420031447	151	
		29176	Cleat 316G cast SS open base 200mm	22.5	0.40000000000000013	9.000000000000004	34.650000000000006	9330420031454	151	
		29176HD	Cleat 316G cast SS open base heavy duty 200mm	74.29	0.39991923542872515	29.709999999999994	114.4	9330420119350	151	
		29176LD	Cleat 316G cast SS open base light duty 200mm	17.2545454545455	0.39884088514224925	6.881818181818101	26.549999999999965	9330420233858		
		29177	Cleat 316G cast SS open base 250mm	55.08	0.3996170858915958	22.010909090909095	84.80000000000001	9330420031461	151	
		29177HD	Cleat 316G cast SS open base heavy duty 250mm	85.595	0.39982688028718966	34.223181818182	131.8000000000002	9330420124026	151	
		29179	Cleat 316G cast SS open base 300mm	146.2	0.400012436264145	58.481818181818	225.1499999999998	9330420031478	151	
		29184	Breather 316G cast SS 90° down stepped 13/16mm	28.5090909090909	0.44929846938775486	12.809090909090898	45.44999999999998	9330420132854	547	
		29184U	Breather 316G cast SS 90° up stepped 13/16mm	28.5090909090909	0.44929846938775486	12.809090909090898	45.44999999999998	9330420133301	547	
		29189	Breather fuel G316 cast SS 90° 25mm	39	0.5	19.5	64.35000000000001	9330420141443	547	
		29192	Hose tail bronze straight 1/2 BSPM x 1/2	5.51818181818182	0.49917627677100385	2.7545454545454495	9.099999999999998	9330420031539	504	
		29193	Hose tail bronze straight 1/2 BSPM x 3/4	11.5181818181818	0.4483030781373363	5.163636363636401	18.350000000000023	9330420031546	504	
		29194	Hose tail bronze straight 3/4 BSPM x 3/4	11.2363636363636	0.4482200647249259	5.036363636363697	17.90000000000003	9330420031553	504	
		29195	Hose tail bronze straight 3/4 BSPM x 1	16.473	0.44865151239218115	7.3906363636364	26.25000000000004	9330420031560	504	
		29196	Hose tail bronze straight 1 BSPM x 1	16.524	0.4496820052375634	7.4305454545454985	26.35000000000005	9330420031577	504	
		29198	Hose tail bronze straight 1-1/4 BSPM x 1-1/4	24.225	0.45041748756918865	10.911363636363596	38.64999999999996	9330420031584	504	
		29200	Hose tail bronze straight 1-1/2 BSPM x 1-1/2	26.605	0.4505134031538846	11.9859090909091	42.45000000000002	9330420031607	504	
		29201	Nipple brass straight 1/2 BSPTM	3.4	0.4973262032085559	1.69090909090909	5.6	9330420031614	504	
		29202	Hose tail bronze straight 2 BSPM x 2	46.512	0.4502611251837245	20.942545454545396	74.19999999999995	9330420031621	504	
		29203	Nipple brass straight 3/4 BSPTM	5.21818181818182	0.4982578397212543	2.6000000000000005	8.600000000000003	9330420031638	504	
		29204	Nipple hex brass straight 1 BSPTM	5.69090909090909	0.4456869009584673	2.5363636363636406	9.050000000000004	9330420031645	504	
		29205	Nipple hex brass straight 1-1/4 BSPPTM	8.76363636363636	0.452282157676346	3.96363636363634	13.999999999999972	9330420031652	504	
		29206	Nipple hex brass straight 1-1/2 BSPTM	16.4181818181818	0.45071982281284645	7.399999999999999	26.19999999999998	9330420031669	504	
		29208	Skin fitting bronze fully threaded 1/2 BSP	18.428	0.4503620972038583	8.299272727272701	29.399999999999974	9330420031683	477	
		29210	Skin fitting bronze fully threaded 3/4 BSP	24.633	0.4503825245513214	11.094272727272699	39.29999999999997	9330420031713	477	
		29212	Skin fitting bronze fully threaded 1 BSP	34.782	0.45059356720560945	15.672545454545507	55.50000000000006	9330420031744	477	
		29214	Skin fitting bronze fully threaded 1-1/4 BSP	41.208	0.4505126983286573	18.56472727272731	65.75000000000004	9330420031775	477	
		29216	Skin fitting bronze fully threaded 1-1/2 BSP	47.872	0.44988909820126394	21.537090909090907	76.35000000000001	9330420031805	477	
		29216A	1 1/2 BRZ BACK NUT	11.0363636363636	0.6144975288303166	6.781818181818199	19.59999999999998	9330420031812		
		29218	Skin fitting bronze fully threaded 2 BSP	76.823	0.45020489839098987	34.58609090909101	122.55000000000011	9330420031836	477	
		29218A	2IN BRZ BACK NUT MADE IN NZ	14.0090909090909	0.6093445814406208	8.5363636363636	24.79999999999995	9330420031843		
		29221	Fuel breather chrome plated brass straight 16mm	13.0090909090909	0.450034940600982	5.854545454545498	20.75000000000004	9330420090772	547	
		29225	Handle chrome plated brass 120mm overall	6.86363636363636	0.5827814569536487	4.000000000000041	11.950000000000042	9330420134100	182	
		29230	Gunwale end cap black nylon 35mm round	4.68181818181818	0.5048543689320382	2.3636363636363598	7.749999999999995	9330420206968	275	
		29231	Gunwale corner cap black nylon 35mm round	5.43636363636364	0.4966555183946485	2.7	8.950000000000005	9330420206975	275	
		29232	Gunwale end cap white nylon 35mm round	4.68181818181818	0.5048543689320382	2.3636363636363598	7.749999999999995	9330420206982	275	
		29233	Gunwale corner cap white nylon 35mm round	5.43636363636364	0.4966555183946485	2.7	8.950000000000005	9330420206999	275	
		29234	Gunwale end cap black nylon 40mm round	4.92727272727273	0.5036900369003683	2.4818181818181797	8.150000000000002	9330420207002	275	
		29235	Gunwale corner cap black nylon 40mm round	5.7	0.4992025518341297	2.8454545454545395	9.399999999999995	9330420207019	275	
